년(Annual),시도,시군구,계,계,전,전,답,답,과수원,과수원,목장용지,목장용지,임야,임야,광천지,광천지,염전,염전,대,대,공장용지,공장용지,학교용지,학교용지,주차장,주차장,주유소용지,주유소용지,창고용지,창고용지,도로,도로,철도용지,철도용지,제방,제방,하천,하천,구거,구거,유지,유지,양어장,양어장,수도용지,수도용지,공원,공원,체육용지,체육용지,유원지,유원지,종교용지,종교용지,사적지,사적지,묘지,묘지,잡종지,잡종지
년(Annual),시도,시군구,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수,면적,지번수
2017,대구,중구,7056370.4,31445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4218130.2,24774,0,0,332288.7,67,44231.5,136,9060.8,15,1715.5,9,1714356,5824,43117.4,36,22867.9,38,246429,104,49884.3,284,0,0,0,0,8486.5,11,210327.5,18,0,0,0,0,153360.3,124,0,0,0,0,2114.8,5
2017,대구,동구,182161631.6,98962,8611097.5,10183,12969206,13529,783568.7,472,64435,61,110283718,6360,0,0,0,0,14819617,40378,1090649.5,574,1050399.1,148,149088.6,151,177715.5,119,213522.5,378,10038859.7,17238,853726.8,556,673035,891,6931791.4,1625,1559591.9,2302,1290932.5,606,0,0,60175.6,46,1820363.2,421,655533.6,5,27960,19,323397.4,204,47473,21,653340,708,7012434.1,1967
2017,대구,서구,17328302.9,47908,411816,1026,190906,577,0,0,0,0,1957434,648,0,0,0,0,6033189.9,33423,2682382.7,2009,539795.1,61,36976.1,55,52407.2,84,116411.6,128,3406603.7,8420,167709.6,153,29625,33,688736,258,141818.8,368,17609,21,0,0,42319,11,82240,55,6687,1,0,0,76980.7,63,0,0,43604,37,603051.5,477
2017,대구,남구,17428915.3,36279,48778.6,136,450,3,0,0,0,0,4096159.2,386,0,0,0,0,6109448.4,28973,0,0,849654.2,121,34104.7,68,25900.7,35,1892.4,5,2247034.6,5846,292.4,4,4959,29,368592,43,141174,262,215,2,0,0,67835.1,30,2676336.9,55,3491,4,0,0,89248.1,57,0,0,4287,13,659062,207
2017,대구,북구,94071813.2,73533,4596801.7,5672,3670972.3,4355,429673,386,149970,140,45995303.7,3620,0,0,0,0,13714120.6,36553,2771872.2,3405,2037735.6,234,108735.4,76,98574.9,108,164418.6,253,8672025.6,12732,147393.5,143,414646.2,741,5957653.4,1570,1433145.5,1499,399806.9,260,5417,2,170113.7,65,808356.3,281,352497,17,0,0,196151.3,145,0,0,372384,251,1404044.8,1025
2017,대구,수성구,76536623.2,64178,3387891.2,4070,3913024.5,5137,368300,248,20844,7,37510407.1,3729,0,0,0,0,13539934.4,34004,127643.9,92,1359270.7,184,91937.2,47,44442.5,93,24685.2,55,7410075.8,10812,986083,1248,215799,500,2621013.8,841,729455.3,1358,650301,467,1373,1,320234.1,89,551809.6,159,1189423.2,76,21512,31,131275.8,126,0,0,91960.9,144,1227926,660
2017,대구,달서구,62343286.2,53393,730439.6,1361,1476184,3008,29914,19,4232,3,19207583.1,1600,0,0,0,0,14517486.3,31834,7392015,2796,2845521.9,221,121744.4,103,91116.4,114,87393.8,91,8373547.9,8941,155628.8,17,175679,220,2038657.2,424,310348.1,992,563056.5,125,0,0,296750.4,178,2307882.7,512,188931.3,38,0,0,143685.6,125,3946,1,161951,61,1119591.2,609
2017,대구,달성군,426676169.7,196318,22281297.4,27433,51842555.3,57229,612471.4,557,1127419,468,253953284.3,18814,6,2,0,0,15657769.7,31539,12493340.8,3524,1785704,274,337251.7,186,101164.9,104,486448.3,547,16896845.9,32399,330729,78,2439904,3550,25367006,5070,7236291.3,7597,3105750.4,1784,27902,22,1335557.8,273,3047418.3,595,322336.7,40,375483,47,249845.4,178,2133,1,2657279.3,2499,2602974.8,1508
2017,인천,인천,1063115335.4,652355,80925963.8,94167,164128627.8,89948,1567637.8,1017,2689022.7,1654,394539983,84369,0,0,4717238,796,108647896.5,218518,25063500.9,9440,11569392.3,1708,1303698.6,1105,692503.6,704,3889913.2,1897,79178165.6,98758,2535020.6,1796,3832781.1,2697,6429607,3282,21610752.8,16435,20799332.6,1979,420740.8,126,1295963.8,175,25683118.9,3190,10421363.1,473,1336715.8,906,1465017.4,1467,335571.8,118,2772563.8,1874,85263242.1,13756
2017,인천,중구,140274744.8,58078,4732461.9,6000,5623775.7,6208,136187,88,3135,2,31589049.5,7336,0,0,1765122,255,13165154.6,22101,1804013.7,288,957064.6,103,291614.5,130,76001.4,66,1549141.6,180,12119261.3,10944,797968.8,158,794498.1,241,38254.1,17,1948048.6,517,3813686,95,0,0,26765.4,4,6484460.2,691,3151075.7,28,1036136,692,95972.7,101,0,0,115620,25,48160276.4,1808
2017,인천,동구,7193925.5,19156,79,5,0,0,0,0,0,0,65256,2,0,0,0,0,1833339.9,13767,2358527.9,484,272790.4,90,22989.7,80,18754.6,14,141844.5,34,1122314.3,3811,55316.8,178,1481.8,7,53,1,126374.5,141,189987.7,2,0,0,50592.3,15,212764.3,195,28994.5,1,0,0,45840.3,60,0,0,0,0,646624,269
2017,인천,남구,24834652.4,55544,213562.8,700,43413.5,140,0,0,0,0,1732144.7,516,0,0,0,0,10796723.5,43436,1171753.1,409,1860657.7,406,67464.4,166,77582.7,89,38004.8,25,5014827.1,7818,244722.5,478,54658.5,10,9780,16,82001.6,163,942966.3,31,0,0,109860.3,17,590448.9,168,442139.4,64,0,0,135486.3,137,26076.1,15,8482,7,1171896.2,733
2017,인천,연수구,54946952.1,14852,853612.6,1256,297901,409,128.1,1,1675,3,3957583.9,1112,0,0,0,0,16648365.6,7427,999041,40,2688595.8,119,239600.3,65,47599.1,44,192,1,8691036.6,2679,127731.4,54,67587.5,71,54241,47,91334.9,161,1018584.9,48,0,0,20900,1,7730125.8,421,2662593.6,217,17591,17,83973.6,78,2645.7,1,54009,12,8590302.7,568
2017,인천,남동구,57055358.3,43989,5658117.6,5879,1153969.7,1861,230727,105,13879,23,10391598.2,1860,0,0,123630,2,11866247.8,20953,6467559.9,2636,1061432.7,110,168958.7,179,70289.9,79,80877.5,127,9062256.7,7061,165916.1,54,214362.4,335,1148196.6,389,283348.1,331,921852.8,13,8517,3,417885.4,12,5762642.7,667,181921.4,12,0,0,135583.4,135,0,0,106899.8,92,1358687.9,1071
2017,인천,부평구,32007510.1,44500,616634.4,1563,644073.9,1004,0,0,0,0,7161183.4,1045,0,0,0,0,10376357.7,29426,2219524.3,670,1115854,189,50653,82,84905.5,84,52229.8,30,4594953.3,7446,295933.3,178,29383,64,78847.4,41,688878.2,924,59716.1,7,0,0,250565.6,82,834923.9,241,68400.7,3,0,0,168867.9,144,0,0,29870,39,2585754.7,1238
2017,인천,계양구,45569771.3,36137,5322712.5,4618,9313617.7,7317,48406,27,54028.4,42,12652538.2,2159,0,0,0,0,7027329.7,12290,121206.6,152,910024.4,129,73702.9,43,58437.8,64,84864.1,77,5159042.3,5694,501180,105,25012,25,656378.1,249,1630780.5,2166,1574,17,11648,4,47580,22,322077.4,120,268753.8,4,649,3,83880.4,76,0,0,113463,70,1080884.5,664
2017,인천,서구,116902904.2,72876,9006659.1,8345,11342203.2,8729,257924,139,102431,70,27405288.5,7260,0,0,693380,142,17399518.5,24325,8826574.5,4282,1284663.2,180,183925.4,125,208795.6,183,1298799.8,265,13056890.5,10901,346251.7,591,550908.6,458,1852545,481,1718356.8,2157,1150977.3,214,1671,2,273642.8,13,3690201.8,668,3217061.3,94,3220,1,170900.3,155,0,0,228588,159,12631526.3,2937
2017,인천,강화군,411446461.8,238395,38805719.1,49071,122895299.3,54148,339007.7,215,1734028.3,1404,177952908.8,42508,0,0,959867,137,15615802.1,34921,1047935.9,445,1110086,263,171112.7,211,38072,53,560496.1,950,16574757,35987,0,0,1786844.5,1193,2528985.8,2029,13288084,8416,9499121,1276,278704.8,79,992,1,46544.9,18,144963.6,39,223369.8,176,477305.2,479,306850,102,1788441,1311,3271163.2,2963
